Date,MPRN,Meter Serial Number,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,00:00
08/12/2025,10306472089,32181933,0.84,0.59,0.20,0.16,0.17,0.15,0.16,0.16,0.16,0.16,0.15,0.17,0.15,0.16,0.17,0.21,0.25,0.25,0.21,0.19,0.12,0.11,0.11,0.09,0.04,0.09,0.14,0.23,0.05,0.06,0.07,0.07,0.08,0.06,0.07,0.08,0.08,0.08,0.31,0.48,0.05,0.07,0.13,0.08,0.08,0.05,0.06,0.11
09/12/2025,10306472089,32181933,0.04,0.05,0.04,0.04,0.05,0.03,0.05,0.05,0.04,0.05,0.04,0.04,0.05,0.06,0.06,0.10,0.09,0.15,0.09,0.08,0.08,0.07,0.05,0.05,0.04,0.04,0.07,0.08,0.07,0.11,0.11,0.09,0.09,0.06,0.05,0.04,0.21,1.31,0.52,0.99,0.39,0.07,0.05,0.06,0.06,0.05,0.06,0.06
10/12/2025,10306472089,32181933,0.06,0.05,0.05,0.05,0.03,0.06,0.05,0.06,0.04,0.05,0.05,0.04,0.05,0.06,0.06,0.08,0.09,0.11,0.10,0.07,0.02,0.03,0.06,0.02,0.05,0.08,0.03,0.02,0.11,0.09,0.09,0.07,0.08,0.13,0.06,0.05,0.09,0.07,0.09,0.60,0.07,0.05,0.25,0.05,0.05,0.05,0.06,0.05
11/12/2025,10306472089,32181933,0.07,0.07,0.04,0.05,0.05,0.03,0.04,0.05,0.04,0.05,0.05,0.04,0.05,0.06,0.08,0.10,0.13,0.09,0.10,0.08,0.08,0.08,0.07,0.08,0.08,0.06,0.09,0.08,0.08,0.08,0.07,0.05,0.07,0.05,0.06,0.42,0.57,0.86,0.98,0.18,0.69,0.07,0.06,0.07,0.06,0.06,0.04,0.06
12/12/2025,10306472089,32181933,0.04,0.05,0.04,0.05,0.04,0.04,0.05,0.04,0.05,0.05,0.04,0.05,0.04,0.06,0.08,0.07,0.08,0.07,0.03,0.02,0.02,0.02,0.01,0.04,0.03,0.00,0.14,0.01,0.06,0.05,0.09,0.08,0.08,0.08,0.06,0.11,0.21,0.12,0.07,0.18,0.55,0.08,0.13,0.22,0.10,0.11,0.09,0.06
13/12/2025,10306472089,32181933,0.10,0.05,0.05,0.04,0.05,0.04,0.05,0.05,0.05,0.05,0.05,0.06,0.05,0.05,0.05,0.05,0.05,0.07,0.04,0.01,0.01,0.03,0.03,0.03,0.04,0.02,0.04,0.04,0.04,0.12,0.10,0.16,0.11,0.11,0.75,0.11,0.72,0.18,0.68,0.15,0.57,1.15,0.20,0.15,0.13,0.09,0.06,0.10
14/12/2025,10306472089,32181933,0.05,0.05,0.04,0.06,0.05,0.06,0.04,0.06,0.04,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.07,0.05,0.03,0.02,0.16,1.17,1.72,0.55,0.97,0.57,0.52,0.27,0.06,0.05,0.07,0.06,0.09,0.15,0.11,0.40,0.19,0.14,0.96,0.80,0.14,0.12,0.31,0.13,0.13,0.11,0.13,0.04
15/12/2025,10306472089,32181933,0.06,0.04,0.06,0.04,0.06,0.04,0.06,0.05,0.06,0.05,0.06,0.05,0.05,0.04,0.06,0.10,0.11,0.09,0.09,0.06,0.05,0.07,0.04,0.00,0.00,0.25,0.28,0.01,0.02,0.08,0.08,0.08,0.04,0.10,0.11,0.09,0.08,0.26,0.56,0.94,0.68,0.72,0.09,0.20,0.04,0.04,0.03,0.08
16/12/2025,10306472089,32181933,0.03,0.04,0.03,0.04,0.05,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.05,0.06,0.05,0.05,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.04,0.04,0.04,0.05,0.05,0.05,0.32,0.07,0.10,0.03,0.04,0.05,0.08,0.07,0.56,1.09,0.05
17/12/2025,10306472089,32181933,0.04,0.04,0.03,0.04,0.03,0.03,0.03,0.03,0.04,0.03,0.04,0.04,0.04,0.05,0.04,0.05,0.03,0.05,0.05,0.02,0.34,0.05,0.08,0.58,1.12,0.33,0.01,0.03,0.02,0.07,0.05,0.05,0.04,0.05,0.05,0.05,0.06,0.05,0.06,0.04,0.04,0.32,0.04,0.06,0.03,0.04,0.03,0.21
18/12/2025,10306472089,32181933,0.04,0.03,0.03,0.04,0.03,0.04,0.03,0.04,0.04,0.04,0.05,0.03,0.04,0.05,0.06,0.06,0.03,0.05,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.04,0.02,0.04,0.03,0.03,0.04,0.03,0.04,0.04,0.03,0.05,0.05,0.20,0.64,0.07,0.05,0.04,0.05,0.04,0.06,0.05,0.05,0.03
19/12/2025,10306472089,32181933,0.03,0.04,0.04,0.06,0.07,0.05,0.03,0.04,0.05,0.04,0.05,0.04,0.03,0.06,0.05,0.05,0.04,0.03,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.03,0.03,0.04,0.05,0.03,0.04,0.05,0.04,0.04,0.04,0.04,0.73,0.06,0.06,0.04,0.05,0.04,0.04,0.04
20/12/2025,10306472089,32181933,0.03,0.04,0.03,0.03,0.04,0.03,0.04,0.04,0.04,0.05,0.03,0.04,0.04,0.04,0.04,0.03,0.05,0.05,0.05,0.04,0.01,0.03,0.09,0.33,0.04,0.02,0.04,0.03,0.03,0.03,0.04,0.04,0.03,0.05,0.04,0.08,0.07,0.07,0.05,0.07,0.60,0.17,0.13,0.19,0.16,0.24,0.05,0.04
21/12/2025,10306472089,32181933,0.04,0.06,0.05,0.04,0.05,0.03,0.04,0.04,0.04,0.05,0.08,0.08,0.05,0.03,0.04,0.04,0.03,0.03,0.03,0.02,0.00,0.01,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.03,0.03,0.04,0.02,0.04,0.03,0.03,0.04,0.03,0.04,0.03,0.04,0.03,0.03,0.04,0.03,0.04,0.03,0.06
22/12/2025,10306472089,32181933,0.03,0.03,0.04,0.02,0.04,0.03,0.03,0.03,0.03,0.04,0.03,0.04,0.03,0.03,0.04,0.03,0.04,0.02,0.04,0.02,0.03,0.03,0.02,0.02,0.02,0.03,0.02,0.03,0.03,0.02,0.04,0.02,0.04,0.03,0.03,0.04,0.03,0.04,0.02,0.04,0.03,0.03,0.03,0.03,0.04,0.02,0.04,0.03
23/12/2025,10306472089,32181933,0.03,0.03,0.03,0.04,0.03,0.04,0.03,0.04,0.03,0.03,0.03,0.03,0.04,0.02,0.04,0.03,0.06,0.05,0.04,0.02,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.04,0.02,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.02,0.03
24/12/2025,10306472089,32181933,0.03,0.03,0.03,0.03,0.04,0.03,0.04,0.03,0.04,0.03,0.04,0.03,0.03,0.04,0.03,0.04,0.02,0.03,0.03,0.03,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.04,0.02,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.02,0.04,0.03,0.03,0.03,0.03,0.04
25/12/2025,10306472089,32181933,0.03,0.04,0.02,0.04,0.03,0.04,0.03,0.03,0.04,0.03,0.03,0.03,0.04,0.02,0.03,0.03,0.04,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.03,0.03,0.04,0.02,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.02,0.03
26/12/2025,10306472089,32181933,0.02,0.04,0.03,0.04,0.03,0.03,0.03,0.03,0.04,0.03,0.04,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.01,0.02,0.01,0.01,0.01,0.01,0.00,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.02,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04
27/12/2025,10306472089,32181933,0.03,0.03,0.02,0.04,0.02,0.04,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.02,0.04,0.02,0.04,0.03,0.03,0.03,0.03,0.03
28/12/2025,10306472089,32181933,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.02,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.01,0.02,0.01,0.02,0.02,0.03,0.02,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.02,0.03,0.02,0.04,0.03,0.03
29/12/2025,10306472089,32181933,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.02,0.04,0.02,0.04,0.03,0.03,0.02,0.03,0.03,0.03,0.02,0.02,0.02,0.01,0.02,0.02,0.03,0.02,0.03,0.02,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.04,0.02,0.03,0.03
30/12/2025,10306472089,32181933,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.02,0.03,0.03,0.04,0.02,0.03,0.02,0.03,0.03,0.03,0.03,0.02,0.02,0.00,0.01,0.01,0.01,0.01,0.02,0.02,0.04,0.02,0.03,0.02,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.03
31/12/2025,10306472089,32181933,0.03,0.03,0.02,0.04,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.02,0.03,0.02,0.02,0.01,0.01,0.00,0.01,0.01,0.06,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.04,0.03,0.03,0.02,0.03,0.04
01/01/2026,10306472089,32181933,0.03,0.03,0.03,0.03,0.02,0.03,0.02,0.04,0.03,0.04,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.02,0.03,0.02,0.04,0.03,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.02,0.04,0.03
02/01/2026,10306472089,32181933,0.04,0.02,0.03,0.03,0.03,0.03,0.03,0.04,0.02,0.04,0.02,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.03,0.03,0.02,0.03,0.03,0.04,0.02,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.04,0.02
03/01/2026,10306472089,32181933,0.04,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.02,0.03,0.03,0.04,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.02,0.03,0.03,0.04,0.03,0.02
04/01/2026,10306472089,32181933,0.03,0.03,0.04,0.03,0.03,0.03,0.04,0.03,0.04,0.03,0.04,0.03,0.04,0.03,0.04,0.03,0.04,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.04,0.09,0.04,0.04,0.03,0.04,0.03,0.04,0.03,0.04,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.04
05/01/2026,10306472089,32181933,0.04,0.03,0.04,0.03,0.04,0.03,0.04,0.03,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.03,0.02,0.04,0.03,0.03,0.03,0.04,0.03,0.04,0.03,0.03,0.04,0.03,0.03,0.03,0.03
06/01/2026,10306472089,32181933,0.03,0.04,0.03,0.04,0.03,0.04,0.03,0.04,0.03,0.03,0.03,0.04,0.03,0.03,0.04,0.03,0.04,0.03,0.03,0.02,0.01,0.02,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.04,0.04
07/01/2026,10306472089,32181933,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.02,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.01,0.01,0.02,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.02,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
08/01/2026,10306472089,32181933,0.03,0.03,0.04,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.02,0.04,0.03,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.02,0.04,0.02,0.03,0.02,0.03,0.03,0.03,0.04,0.06,0.06,0.04,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.02
09/01/2026,10306472089,32181933,0.03,0.04,0.02,0.03,0.02,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.04,0.03,0.03,0.02,0.01,0.00,0.00,0.00,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.02,0.03,0.03,0.03,0.03
10/01/2026,10306472089,32181933,0.06,0.06,0.06,0.06,0.06,0.07,0.05,0.06,0.06,0.05,0.05,0.03,0.05,0.04,0.05,0.06,0.05,0.05,0.01,0.01,0.01,0.01,0.01,0.00,0.01,0.01,0.01,0.03,0.03,0.04,0.04,0.04,0.05,0.04,0.05,0.04,0.04,0.05,0.04,0.05,0.05,0.04,0.05,0.04,0.05,0.04,0.04,0.05
11/01/2026,10306472089,32181933,0.04,0.04,0.05,0.04,0.05,0.04,0.04,0.05,0.03,0.05,0.04,0.04,0.05,0.03,0.05,0.05,0.04,0.05,0.03,0.04,0.03,0.03,0.04,0.02,0.01,0.03,0.03,0.05,0.03,0.04,0.05,0.03,0.04,0.04,0.04,0.05,0.03,0.04,0.05,0.03,0.05,0.04,0.04,0.05,0.03,0.05,0.04,0.05
12/01/2026,10306472089,32181933,0.05,0.04,0.04,0.04,0.03,0.05,0.04,0.04,0.05,0.03,0.05,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.05,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.01,0.02,0.02,0.04,0.04,0.04,0.05,0.03,0.04,0.07,0.06,0.07,0.06,0.05,0.12,0.11,0.10,0.11,0.09,0.04
13/01/2026,10306472089,32181933,0.08,0.04,0.05,0.04,0.04,0.05,0.04,0.04,0.04,0.03,0.05,0.03,0.05,0.06,0.05,0.05,0.03,0.04,0.02,0.01,0.00,0.00,0.01,0.01,0.00,0.00,0.02,0.01,0.00,0.00,0.04,0.05,0.05,0.06,0.05,0.06,0.07,0.06,0.07,0.07,0.06,0.05,0.08,0.12,0.13,0.11,0.06,0.08
14/01/2026,10306472089,32181933,0.04,0.03,0.05,0.04,0.05,0.05,0.04,0.05,0.04,0.04,0.05,0.04,0.06,0.05,0.05,0.07,0.06,0.06,0.05,0.10,0.04,0.03,0.05,0.04,0.03,0.01,0.01,0.02,0.04,0.03,0.05,0.04,0.04,0.05,0.04,0.05,0.04,0.05,0.05,0.04,0.06,0.06,0.08,0.10,0.10,0.08,0.05,0.06
15/01/2026,10306472089,32181933,0.05,0.04,0.04,0.04,0.03,0.05,0.04,0.04,0.05,0.04,0.04,0.05,0.05,0.06,0.05,0.04,0.05,0.08,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.05,0.05,0.04,0.05,0.05,0.06,0.10,0.07,0.25,0.08,0.11,0.15,0.13,0.10,0.11,0.10,0.04
16/01/2026,10306472089,32181933,0.06,0.03,0.04,0.04,0.04,0.05,0.04,0.04,0.05,0.04,0.05,0.04,0.05,0.06,0.04,0.05,0.04,0.05,0.11,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.03,0.01,0.04,0.05,0.04,0.05,0.04,0.04,0.06,0.04,0.05,0.05,0.06,0.10,0.10,0.09,0.10,0.08,0.07
17/01/2026,10306472089,32181933,0.08,0.04,0.06,0.03,0.04,0.05,0.03,0.05,0.04,0.04,0.05,0.03,0.05,0.04,0.04,0.06,0.04,0.10,0.05,0.03,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.07,0.10,0.12,0.10,0.10,0.08,0.07,0.05,0.06,0.05,0.06,0.06,0.05,0.06,0.05,0.06,0.07,0.09
18/01/2026,10306472089,32181933,0.07,0.05,0.04,0.05,0.04,0.04,0.05,0.03,0.05,0.04,0.04,0.05,0.04,0.04,0.05,0.04,0.05,0.03,0.01,0.08,0.06,0.07,0.07,0.09,0.07,0.19,0.01,0.03,0.04,0.06,0.09,0.19,0.17,0.17,0.16,0.67,0.34,0.54,1.02,0.29,0.12,0.10,0.18,0.17,0.16,0.14,0.09,0.09
19/01/2026,10306472089,32181933,0.71,0.07,0.46,0.25,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.04,0.05,0.03,0.04,0.03,0.04,0.10,0.03,0.04,0.03,0.01,0.01,0.00,0.00,0.00,0.00,0.02,0.03,0.02,0.03,0.04,0.03,0.04,0.04,0.04,0.05,0.04,0.04,0.05,0.05,0.10,0.11,0.14,0.12,0.14,0.13,0.07
20/01/2026,10306472089,32181933,0.05,0.04,0.06,0.07,0.06,0.04,0.05,0.05,0.04,0.04,0.04,0.03,0.05,0.05,0.05,0.04,0.03,0.09,0.03,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.01,0.03,0.04,0.03,0.04,0.05,0.08,0.08,0.14,0.12,0.26,0.04,0.08,0.16,0.14,0.15,0.15,0.14,0.05
21/01/2026,10306472089,32181933,0.09,0.03,0.05,0.04,0.03,0.04,0.03,0.04,0.03,0.03,0.04,0.03,0.05,0.05,0.04,0.04,0.03,0.03,0.07,0.02,0.01,0.00,0.00,0.01,0.01,0.01,0.02,0.01,0.03,0.03,0.01,0.04,0.04,0.03,0.04,0.03,0.04,0.05,0.03,0.04,0.04,0.03,0.05,0.07,0.13,0.16,0.12,0.13
22/01/2026,10306472089,32181933,0.09,0.04,0.04,0.04,0.04,0.08,0.05,0.05,0.03,0.04,0.04,0.04,0.05,0.04,0.05,0.04,0.03,0.09,0.02,0.02,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.03,0.03,0.03,0.04,0.04,0.07,0.12,0.16,0.15,0.08,0.07,0.11,0.15,0.16,0.17,0.12,0.14,0.12
23/01/2026,10306472089,32181933,0.05,0.50,0.24,0.43,0.41,0.03,0.03,0.05,0.04,0.03,0.05,0.04,0.04,0.06,0.05,0.03,0.05,0.05,0.07,0.03,0.03,0.02,0.05,0.11,0.34,0.32,0.03,0.03,0.07,0.05,0.07,0.06,0.07,0.06,0.13,0.12,0.11,0.15,0.14,0.48,0.12,0.17,0.15,0.19,0.22,0.18,0.17,0.09
24/01/2026,10306472089,32181933,0.17,0.16,0.04,0.04,0.04,0.02,0.04,0.04,0.03,0.03,0.04,0.03,0.04,0.04,0.03,0.05,0.05,0.04,0.04,0.03,0.02,0.02,0.07,0.04,0.22,0.41,0.00,0.00,0.02,0.04,0.01,0.13,0.04,0.04,0.07,0.03,0.05,0.03,0.05,0.04,0.04,0.05,0.07,0.12,0.09,0.09,0.11,0.16
25/01/2026,10306472089,32181933,0.04,0.03,0.03,0.04,0.03,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.03,0.36,0.22,0.25,1.00,0.02,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.03,0.04,0.04,0.09,0.06,0.05,0.04,0.04,0.05,0.09,0.08,0.16,0.11,0.15,0.10,0.06,0.03
26/01/2026,10306472089,32181933,0.04,0.03,0.04,0.05,0.03,0.04,0.04,0.03,0.04,0.04,0.03,0.05,0.04,0.04,0.05,0.04,0.04,0.05,0.04,0.43,0.09,0.05,0.04,0.69,0.05,0.69,0.14,0.00,0.00,0.01,0.19,0.02,0.04,0.04,0.05,0.06,0.04,0.07,0.08,0.08,0.06,0.07,0.07,0.08,0.08,0.06,0.07,0.04
27/01/2026,10306472089,32181933,0.05,0.03,0.04,0.05,0.03,0.04,0.04,0.03,0.03,0.04,0.03,0.04,0.04,0.05,0.04,0.04,0.03,0.04,0.05,0.04,0.03,0.02,0.01,0.02,0.03,0.01,0.01,0.00,0.03,0.02,0.03,0.04,0.04,0.04,0.04,0.09,0.05,0.06,0.04,0.04,0.04,0.04,0.05,0.06,0.08,0.13,0.13,0.06
28/01/2026,10306472089,32181933,0.11,0.10,0.05,0.03,0.03,0.04,0.03,0.04,0.05,0.03,0.04,0.04,0.04,0.05,0.06,0.04,0.04,0.21,0.18,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.04,0.04,0.03,0.04,0.05,0.06,0.45,0.07,0.08,0.33,0.09,0.11,0.15,0.07,0.06,0.17
29/01/2026,10306472089,32181933,0.05,0.04,0.04,0.04,0.03,0.04,0.04,0.03,0.05,0.03,0.04,0.04,0.03,0.05,0.05,0.03,0.17,0.11,0.05,0.04,0.00,0.00,0.01,0.01,0.05,0.22,0.10,0.05,0.07,0.08,0.10,0.06,0.05,0.04,0.05,0.06,0.06,0.96,0.97,0.08,0.09,0.07,0.07,0.10,0.09,0.07,0.23,0.03
30/01/2026,10306472089,32181933,0.06,0.04,0.06,0.04,0.03,0.04,0.03,0.04,0.05,0.03,0.04,0.04,0.03,0.05,0.05,0.03,0.04,0.07,0.05,0.01,0.00,0.00,0.01,0.04,0.02,0.02,0.61,0.00,0.60,0.00,0.02,0.03,0.03,0.04,0.05,0.04,0.05,0.06,0.04,0.26,0.28,0.33,0.07,0.09,0.12,0.09,0.10,0.05
31/01/2026,10306472089,32181933,0.07,0.06,0.07,0.04,0.04,0.04,0.04,0.05,0.03,0.04,0.04,0.03,0.05,0.04,0.04,0.05,0.03,0.05,0.05,0.03,0.10,0.15,0.04,0.07,0.48,0.74,0.32,0.60,0.61,0.24,0.29,1.14,1.04,0.06,0.07,0.06,0.08,0.21,0.28,0.19,0.08,0.07,0.24,0.05,0.07,0.07,0.08,0.08
01/02/2026,10306472089,32181933,0.08,0.08,0.09,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.05,0.53,0.36,0.62,0.00,0.94,0.07,0.99,0.12,0.01,0.63,0.58,0.39,0.07,0.09,0.10,0.21,0.61,0.08,0.08,0.08,0.07,0.08,0.07,0.08,0.07,0.07,0.06,0.06,0.09
02/02/2026,10306472089,32181933,0.70,0.11,0.52,0.22,0.06,0.06,0.04,0.07,0.04,0.05,0.03,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.11,0.04,0.03,0.05,0.04,0.30,1.40,0.34,0.92,0.43,0.07,0.05,0.09,0.66,0.09,0.64,0.05,0.05,0.10,0.07,0.09,0.26,0.93,0.67,0.18,0.17,0.06,0.07,0.10
03/02/2026,10306472089,32181933,0.06,0.04,0.05,0.04,0.04,0.03,0.04,0.04,0.03,0.05,0.04,0.04,0.04,0.05,0.05,0.03,0.05,0.12,0.17,0.12,0.08,0.10,0.08,0.07,0.70,0.20,0.05,0.07,0.07,0.07,0.08,0.11,0.10,0.09,0.70,0.12,0.19,0.19,0.15,0.10,0.19,0.08,0.08,0.07,0.10,0.07,0.07,0.05
04/02/2026,10306472089,32181933,0.07,0.06,0.06,0.05,0.04,0.04,0.04,0.05,0.03,0.05,0.04,0.05,0.05,0.05,0.06,0.04,0.03,0.02,0.02,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.61,0.03,0.61,0.10,0.06,0.05,0.07,0.05,0.08,0.07,0.09,0.08,0.69,0.52,0.16,0.09,0.07,0.09,0.07,0.06
05/02/2026,10306472089,32181933,0.06,0.08,0.05,0.05,0.04,0.04,0.05,0.03,0.05,0.04,0.04,0.05,0.04,0.05,0.06,0.04,0.06,0.15,0.09,0.09,0.07,0.08,0.05,0.05,0.06,0.12,0.05,0.02,0.05,0.05,0.05,0.16,0.05,0.03,0.06,0.08,0.72,0.09,0.50,0.25,0.20,0.14,0.10,0.07,0.09,0.06,0.06,0.09
06/02/2026,10306472089,32181933,0.05,0.05,0.04,0.05,0.03,0.04,0.04,0.04,0.05,0.04,0.05,0.05,0.04,0.06,0.06,0.09,0.09,0.08,0.09,0.07,0.11,0.05,0.05,0.05,0.06,0.21,0.04,0.11,0.72,0.12,0.67,0.05,0.04,0.07,0.05,0.57,0.38,0.17,0.35,0.09,0.07,0.06,0.11,0.07,0.06,0.06,0.12,0.04
07/02/2026,10306472089,32181933,0.07,0.08,0.06,0.06,0.04,0.05,0.04,0.04,0.04,0.04,0.05,0.04,0.05,0.04,0.04,0.05,0.03,0.04,0.02,0.01,0.00,0.04,0.01,0.00,0.00,0.02,0.01,0.02,0.02,0.01,0.84,0.56,0.44,0.41,0.13,0.06,0.43,0.97,1.21,0.11,0.57,0.30,0.16,0.07,0.07,0.16,0.06,0.09
08/02/2026,10306472089,32181933,0.05,0.08,0.08,0.05,0.06,0.04,0.05,0.05,0.05,0.05,0.04,0.05,0.04,0.05,0.05,0.05,0.04,0.00,0.00,0.05,0.01,0.18,0.42,0.53,0.58,0.03,0.34,0.01,0.00,0.00,0.08,0.05,0.19,0.08,0.07,0.11,0.08,0.14,0.72,0.09,1.10,0.83,0.78,0.74,0.08,0.05,0.15,0.06
09/02/2026,10306472089,32181933,0.71,0.10,0.67,0.06,0.04,0.06,0.05,0.05,0.05,0.04,0.06,0.04,0.05,0.04,0.05,0.06,0.05,0.10,0.01,0.04,0.06,0.06,0.04,0.03,0.01,0.08,0.11,0.01,0.04,0.04,0.05,0.05,0.08,0.05,0.05,0.07,0.71,0.12,0.15,0.98,0.76,0.53,0.61,0.14,0.18,0.12,0.11,0.13
10/02/2026,10306472089,32181933,0.10,0.05,0.04,0.04,0.03,0.04,0.04,0.03,0.05,0.04,0.04,0.05,0.03,0.05,0.06,0.04,0.07,0.03,0.03,0.02,0.01,0.01,0.00,0.24,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.02,0.04,0.03,0.04,0.03,0.06,0.59,0.51,0.30,0.41,1.28,0.60,0.17,0.29,0.21,0.17,0.10
11/02/2026,10306472089,32181933,0.09,0.04,0.04,0.04,0.03,0.04,0.04,0.03,0.04,0.03,0.03,0.04,0.03,0.05,0.05,0.04,0.05,0.06,0.04,0.06,0.01,0.01,0.00,0.04,0.01,0.01,0.03,0.32,0.37,0.04,0.06,0.02,0.07,0.04,0.06,0.05,0.06,0.05,0.48,1.13,0.56,0.10,0.08,0.12,0.11,0.11,0.12,0.10
