Date,MPRN,Meter Serial Number,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,00:00
19/10/2025,10306472089,32181933,0.03,0.04,0.04,0.03,0.04,0.04,0.03,0.04,0.03,0.03,0.04,0.03,0.04,0.04,0.03,0.05,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.02,0.02,0.04,0.04,0.03,0.36,0.06,0.07,1.75,1.52,0.54,0.28,0.28,0.28,0.22,0.04
20/10/2025,10306472089,32181933,0.20,0.19,0.20,0.20,0.19,0.20,0.20,0.19,0.20,0.19,0.19,0.20,0.18,0.20,0.18,0.20,0.22,0.23,0.21,0.24,0.50,0.51,0.30,0.64,0.18,0.11,0.14,0.29,0.20,0.00,0.02,0.07,0.03,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.63,0.10,0.14,0.72,0.16,0.62,0.22,0.20
21/10/2025,10306472089,32181933,0.08,0.07,0.07,0.07,0.07,0.07,0.08,0.07,0.06,0.06,0.03,0.04,0.03,0.05,0.07,0.09,0.09,0.08,0.11,0.05,0.03,0.40,0.35,0.36,0.06,0.01,0.53,0.05,0.48,0.07,0.01,0.02,0.06,0.05,0.41,0.16,0.10,0.10,0.06,0.64,0.81,0.28,0.30,0.29,0.35,0.82,0.28,0.07
22/10/2025,10306472089,32181933,0.35,0.21,0.21,0.23,0.21,0.20,0.19,0.21,0.20,0.08,0.05,0.06,0.04,0.05,0.05,0.05,0.10,0.06,0.11,0.01,0.00,0.00,0.00,0.01,0.71,0.37,0.05,0.08,0.06,0.05,0.06,0.07,0.06,0.69,0.46,0.16,0.15,0.58,0.35,0.15,0.57,0.24,0.33,0.37,0.05,0.05,0.05,0.63
23/10/2025,10306472089,32181933,0.06,0.05,0.06,0.04,0.06,0.03,0.05,0.05,0.04,0.05,0.04,0.04,0.05,0.04,0.07,0.09,0.08,0.05,0.04,0.01,0.02,0.03,0.05,0.04,0.03,0.05,0.03,0.01,0.07,0.53,0.04,0.57,0.28,0.04,0.07,0.04,0.05,0.06,0.08,0.80,0.56,0.19,0.11,0.16,0.10,0.11,0.09,0.07
24/10/2025,10306472089,32181933,0.07,0.06,0.03,0.06,0.07,0.05,0.03,0.07,0.06,0.04,0.05,0.05,0.04,0.05,0.05,0.04,0.08,0.10,0.09,0.07,0.08,0.06,0.05,0.05,0.02,0.20,0.01,0.22,0.45,0.01,0.55,0.01,0.04,0.51,0.10,0.10,0.11,0.11,0.09,0.04,0.05,0.33,0.35,0.07,0.04,0.05,0.04,0.08
25/10/2025,10306472089,32181933,0.05,0.03,0.04,0.04,0.03,0.04,0.03,0.05,0.04,0.03,0.04,0.03,0.04,0.04,0.04,0.06,0.04,0.03,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.04,0.08,0.07,0.50,0.46,0.10,0.10,0.05,0.05,0.04,0.04,0.04,0.04
26/10/2025,10306472089,32181933,0.04,0.08,0.06,0.05,0.04,0.04,0.05,0.03,0.05,0.04,0.04,0.05,0.03,0.05,0.04,0.06,0.04,0.02,0.03,0.03,0.02,0.03,0.01,0.01,0.01,0.00,0.03,0.01,0.01,0.03,0.03,0.04,0.04,0.04,0.04,0.03,0.05,0.05,0.53,0.58,0.11,0.45,0.23,0.25,0.42,0.07,0.07,0.03
27/10/2025,10306472089,32181933,0.05,0.03,0.04,0.04,0.04,0.05,0.03,0.05,0.05,0.03,0.05,0.04,0.05,0.05,0.03,0.05,0.05,0.04,0.03,0.01,0.02,0.01,0.01,0.01,0.00,0.02,0.01,0.01,0.02,0.01,0.04,0.03,1.33,0.87,0.64,1.54,1.24,0.60,0.73,0.93,0.29,0.08,0.17,0.33,0.47,0.13,0.59,0.06
28/10/2025,10306472089,32181933,0.06,0.04,0.05,0.04,0.04,0.05,0.04,0.05,0.05,0.03,0.05,0.04,0.03,0.05,0.03,0.07,0.04,0.06,0.09,0.02,0.01,0.01,0.03,0.01,0.01,0.15,0.62,0.81,0.10,0.05,0.09,0.06,0.03,0.05,0.52,0.55,0.78,0.54,0.33,0.81,0.06,0.07,0.04,0.05,0.05,0.07,0.15,0.07
29/10/2025,10306472089,32181933,0.05,0.05,0.04,0.05,0.05,0.03,0.05,0.05,0.04,0.05,0.04,0.04,0.05,0.06,0.10,0.12,0.05,0.02,0.04,0.06,0.20,0.03,0.09,1.36,1.02,0.51,0.06,0.00,0.03,0.88,0.95,0.09,0.65,0.08,0.05,0.06,0.08,0.08,0.08,0.50,0.27,0.22,0.22,0.23,0.12,0.08,0.07,0.09
30/10/2025,10306472089,32181933,0.05,0.04,0.04,0.06,0.04,0.05,0.05,0.05,0.07,0.05,0.05,0.06,0.04,0.06,0.06,0.07,0.15,0.08,0.62,0.45,0.12,0.24,0.16,0.37,0.04,0.03,0.05,0.04,0.07,0.03,0.09,0.07,0.11,0.06,0.07,0.05,0.05,0.06,0.22,0.73,0.22,0.20,0.21,0.54,0.26,0.15,0.05,0.04
31/10/2025,10306472089,32181933,0.04,0.04,0.05,0.04,0.04,0.05,0.04,0.05,0.05,0.04,0.05,0.04,0.04,0.06,0.05,0.14,0.09,0.14,0.50,0.09,0.03,0.10,0.06,0.00,0.00,0.09,0.27,0.42,0.22,0.07,0.05,0.56,1.25,1.24,2.29,1.23,0.28,0.37,0.34,0.42,1.24,1.18,0.25,0.23,0.21,0.22,0.22,0.06
01/11/2025,10306472089,32181933,0.33,0.24,0.22,0.23,0.23,0.22,0.23,0.23,0.22,0.23,0.22,0.22,0.22,0.21,0.23,0.21,0.13,0.00,0.01,0.01,0.00,0.01,0.01,0.01,0.00,0.01,0.00,0.01,0.04,0.06,0.07,0.04,0.04,0.06,0.08,0.08,0.07,0.09,0.17,0.91,0.84,0.54,0.69,0.73,0.15,0.13,0.12,0.84
02/11/2025,10306472089,32181933,0.11,0.09,0.07,0.06,0.07,0.04,0.05,0.05,0.04,0.06,0.06,0.07,0.09,0.09,0.08,0.05,0.02,0.00,0.08,0.47,0.00,0.62,0.02,0.01,0.07,0.79,0.06,0.02,0.04,0.02,0.03,0.04,0.26,0.16,0.09,0.07,0.06,1.04,1.38,0.78,0.16,0.16,0.13,0.14,0.11,0.15,0.72,0.10
